referencia,transcricao_simulada
"""Boa tarde, senhor João pereira. Gostaria de começar explicando que esta entrevista está sendo gravada. O senhor tem o direito de permanecer em silêncio e de contar com um advogado durante todo o processo. Entendeu seus direitos?""","""Boa tarde, senhor João pereira. Gostaria de começar explicando que esta entrevista está sendo gravada. O ERRO tem o direito ERRO permanecer em ERRO e contar com um advogado durante todo o processo. Entendeu seus"
"""Sim.""","""Sim."""
"""Ótimo. Vamos conversar sobre um incidente ocorrido recentemente em Lisboa, envolvendo a senhora Joana Castro. Ela relatou que sua mala foi roubada por volta das 20:00, no colombo. Estamos aqui para esclarecer os fatos. Está disposto a colaborar?""","""Ótimo. Vamos sobre um incidente ocorrido recentemente em Lisboa, envolvendo a senhora Joana Castro. Ela relatou ERRO sua mala foi roubada por das 20:00, no colombo. Estamos EXTRA aqui para esclarecer os fatos. disposto ERRO colaborar?"""
"""Antes de tudo, pode me contar onde o senhor estava por volta das 20:00 no dia 04 de dezembro de 2024?""","""Antes de tudo, pode me contar onde o senhor estava por volta das EXTRA dia 04 de dezembro 2024?"""
Encontrava-me nas Compras no Continente do Colombo com um amigo meu.,Encontrava-me nas Compras no Continente do Colombo um amigo meu.
"""Muito bem. Temos aqui algumas informações que gostaríamos de discutir com o senhor. A senhora Joana Castro declarou que um homem com características semelhantes às suas a abordou e roubou sua mala. O que tem a dizer sobre isso?""","""Muito bem. Temos aqui algumas informações que gostaríamos de discutir com o senhor. A senhora Joana Castro EXTRA declarou que um homem com características semelhantes às suas a e ERRO ERRO O que a EXTRA dizer sobre isso?"""
"""Eu não roubei nada. Estava apenas passando na rua.""","não roubei EXTRA nada. Estava apenas passando na rua."""
"""Entendido. No entanto, encontramos suas impressões digitais na mala da senhora. Como explica isso?""","""Entendido. No entanto, encontramos suas digitais na mala da senhora. explica ERRO"
"""Deve ser porque eu encostei na mala sem querer. Foi só isso.""","""Deve ser porque eu encostei na mala querer. Foi isso."""
"""Entendo. Mas a senhora descreveu que a pessoa que levou a mala a puxou com força enquanto ela andava. Se o senhor apenas tocou na mala enquanto passava, como acha que suas impressões ficaram tão marcadas?""","ERRO Mas a senhora que a pessoa que levou a mala a puxou com EXTRA força enquanto ela andava. Se o senhor EXTRA apenas tocou na mala enquanto como acha que suas EXTRA impressões ficaram tão marcadas?"""
Não sei talvez a passar tenha colocado a mão sei lá…,Não sei talvez a passar tenha colocado a mão
"""Além disso, a senhora mencionou que o incidente foi rápido e não havia ninguém próximo além do senhor. Como explica que ela tenha reconhecido alguém com características tão próximas às suas?""","""Além disso, a senhora mencionou que o incidente foi rápido e não havia ninguém EXTRA próximo além ERRO senhor. ERRO explica que ela ERRO ERRO EXTRA alguém com características tão próximas às suas?"""
O colombo tem tanta gente porque é que tenho que ser eu…,O colombo tem tanta gente porque ERRO que EXTRA tenho que ser eu…
"""O senhor já teve algum problema com a justiça anteriormente? Alguma acusação de furto ou roubo?""","""O senhor já teve algum problema com a justiça anteriormente? Alguma acusação de ou ERRO"
Já mas não percebo porque é que esse fato é importante para esta situação eu não fiz nada…,mas não percebo porque é que esse fato é importante para esta situação eu não ERRO nada…
"""E quanto ao local onde estava indo ou vindo naquele dia? Alguém pode confirmar sua versão dos fatos?""","""E quanto ao EXTRA onde estava indo ou vindo naquele dia? Alguém pode ERRO sua versão dos fatos?"""
Sim um amigo mas foi para frança não está cá.,Sim um EXTRA amigo mas ERRO para frança não está cá.
"""Agradeço pela sua cooperação. Esta gravação será analisada junto com as outras provas. Se houver algo mais que queira acrescentar ou ajustar na sua declaração, este é o momento.""","""Agradeço EXTRA pela sua cooperação. ERRO gravação será analisada junto ERRO as outras provas. Se houver algo mais que queira acrescentar ajustar na sua ERRO este é o momento."""
Não tenho mais nada.,Não mais nada.
"""Muito bem, por ora é isso. O senhor será informado sobre os próximos passos do processo. Obrigado pelo seu tempo.""","EXTRA ""Muito bem, por ora é isso. O será informado sobre os passos do processo. Obrigado EXTRA pelo seu tempo."""
"""Boa tarde, Pedro Vasco. Esta entrevista está sendo gravada e faz parte de uma investigação sobre vandalismo ocorrido no café Marianita, na madrugada de 03 de dezembro de 2023. O senhor tem o direito de permanecer em silêncio e de solicitar um advogado. Entendeu seus direitos?""","ERRO tarde, Pedro Vasco. Esta entrevista ERRO gravada e faz parte ERRO uma investigação sobre vandalismo ocorrido ERRO café Marianita, na madrugada de 03 de dezembro de 2023. EXTRA O senhor tem o direito de permanecer em silêncio e de solicitar um advogado. Entendeu ERRO direitos?"""
"""Sim.""","""Sim."""
"""Muito bem. Gostaríamos de esclarecer alguns fatos e ouvir a sua versão. Está disposto a colaborar?""","EXTRA ""Muito bem. Gostaríamos de EXTRA esclarecer alguns fatos e ouvir a sua versão. Está ERRO a colaborar?"""
"""Sim.""","""Sim."""
"""Pode nos contar onde estava na noite de 03 de dezembro de 2023 entre as 20:00 e as 22:00?""","""Pode nos onde estava na de 03 de dezembro EXTRA de 2023 entre as 20:00 e as 22:00?"""
"""Estava em uma festa com amigos. Saí por volta de 21:40 e estava indo para casa.""","""Estava ERRO uma festa com amigos. Saí EXTRA EXTRA por volta de 21:40 e estava indo para casa."""
"""Entendido. Algum dos seus amigos pode confirmar isso?""","Algum dos seus amigos pode confirmar isso?"""
"""Sim. O João António""","""Sim. O EXTRA João António"""
